id,created_at,text
791459675250319360,2016-10-27 02:01:05,RT @GaOWNers: An all-new episode of #QueenSugar starts NOW! Here comes the hurricane!
791432054609211392,2016-10-27 00:11:20,@GrowingOWN @jillienp already did. Luv!
791431804645437440,2016-10-27 00:10:20,This sermon helped me when I was at my lowest! And  https://t.co/Cj2ZtL6xUN
791431086609932288,2016-10-27 00:07:29,.@BishopJakes
791430541472071680,2016-10-27 00:05:19,@jillienp on plane .. will be tweeting from 41k ft. #GimmeSugar
791430251897294848,2016-10-27 00:04:10,"@QueenSugarOWN @timizawilliams no Way ! Tonite is ""the Hurricane"". 5 more episodes! #GimmeSugar"
791415911060238336,2016-10-26 23:07:11,3 hrs and counting! #GimmeSugar
791375321681367040,2016-10-26 20:25:54,"Looks like there’s a storm brewin’ ☔️…we're back with NEW #QueenSugar episode tonight, 10/9c. #GimmeSugar https://t.co/FSKhUKKT2i"
791122611652755456,2016-10-26 03:41:43,@rempower tomorrow night Hurricane's coming!#QueenSugar
791122010663452672,2016-10-26 03:39:20,Gonna hurry up and  sleep  . Can hardly wait for you all to see new episode of #QueenSugar
790981482248536066,2016-10-25 18:20:55,Hey all.. going on Facebook lLive right NOW! https://t.co/tFwoQjg47A
790219278981005312,2016-10-23 15:52:12,"@tpoulos that's the best ""you get there, when you get there"". #SuperSoulSunday"
790218711638519809,2016-10-23 15:49:57,"""People shouldn't compare their  insides to  anybody else's outsides. ""  #SuperSoulSunday"
790217121611583488,2016-10-23 15:43:37,@CarpeDiemJBS isnt that amazing.
790206895231422464,2016-10-23 15:02:59,Morning Supersoulers!  #SuperSoulSunday
788944860786982912,2016-10-20 03:28:07,@rempower @OWNingLight thought #ChrisWallace did a good job.
788944450080780289,2016-10-20 03:26:29,@CorettaJackson #QueenSugar wasn't on tonite cause I thought you'd get caught up. #debatenight
788944135294029825,2016-10-20 03:25:14,@OWNingLight saw u watching #debatenight
788943963092680704,2016-10-20 03:24:33,@3LWTV yes I'm missing #QueenSugar  too. Next week worth the wait. Such an intimate powerful episode next week.
788942796912590849,2016-10-20 03:19:55,#QueenSugar all new episode next week! Thanks y'all.
788823542078984195,2016-10-19 19:26:02,#GimmeSugar? Ok! Catch every #QueenSugar episode from the very beginning. TODAY starting @ 4p. Back with new episod… https://t.co/VusqTuddhV
787716743212916736,2016-10-16 18:08:01,@jillienp yes it's a New Testament Bible produced by these folks. @carllentzNYC gave to me as a gift. https://t.co/6isPbqzww0
787714906128683008,2016-10-16 18:00:43,@GrowingOWN  love #worldwideballin 😂
787714140986970112,2016-10-16 17:57:40,.@carllentzNYC thank you for your beautiful gift of the Message today on #SuperSoulSunday https://t.co/T1Z695oCWA
787682608754794496,2016-10-16 15:52:23,@PhoebeFeed @SuperSoulSunday @OWNTV no commercials allowed on Facebook!
787678755531612161,2016-10-16 15:37:04,@PRanganathan @mindykaling will look into it.
